region,state,lga,tier,count
South South,Cross-River,Boki,Tier 2,0
North Central,Plateau,Bokkos,Tier 2,0
South West,Osun,Boluwaduro,Tier 2,7
South South,Delta,Bomadi,Tier 2,4
South South,Rivers,Bonny,Tier 2,0
North Central,Niger,Borgu,Tier 2,10
South West,Osun,Boripe,Tier 2,5
North Central,Niger,Bosso,Tier 2,8
South South,Bayelsa,Brass,Tier 2,5
North West,Jigawa,Buji,Tier 2,2
North West,Zamfara,Bukkuyum,Tier 2,4
North West,Zamfara,Bungudu,Tier 2,3
North West,Kano,Bunkure,Tier 2,7
North West,Kebbi,Bunza,Tier 2,4
North East,Yobe,Bursari,Tier 2,0
North Central,Benue,Buruku,Tier 2,2
South South,Delta,Burutu,Tier 2,10
North Central,FCT/Abuja,Bwari,Tier 2,14
South South,Cross-River,Calabar Municipal,Tier 2,5
South South,Cross-River,Calabar South,Tier 2,6
North Central,Niger,Chanchaga,Tier 2,0
North West,Katsina,Charanchi,Tier 2,7
North East,Borno,Chibok,Tier 2,5
North West,Kaduna,Chikun,Tier 2,3
North West,Kano,Dala,Tier 2,3
North East,Yobe,Damaturu,Tier 2,5
North East,Bauchi,Damban,Tier 2,10
North West,Kano,Dambatta,Tier 2,7
North East,Borno,Damboa,Tier 2,0
North West,Katsina,Dan Musa,Tier 2,14
North West,Kebbi,Dandi,Tier 2,4
North West,Sokoto,Dange Shuni,Tier 2,5
North West,Katsina,Danja,Tier 2,10
North West,Kebbi,Danko wasagu,Tier 2,1
North East,Bauchi,Darazo,Tier 2,5
North East,Bauchi,Dass,Tier 2,5
North West,Katsina,Daura,Tier 2,0
North West,Kano,Dawakin Kudu,Tier 2,6
North West,Kano,Dawakin Tofa,Tier 2,4
South South,Rivers,Degema,Tier 2,0
North Central,Kogi,Dekina,Tier 2,1
North East,Adamawa,Demsa,Tier 2,0
North East,Borno,Dikwa,Tier 2,0
North West,Kano,Doguwa,Tier 2,4
North Central,Nasarawa,Doma,Tier 2,3
North East,Taraba,Donga,Tier 2,6
North East,Gombe,Dukku,Tier 2,7
South East,Anambra,Dunukofia,Tier 2,13
North West,Jigawa,Dutse,Tier 2,3
North West,Katsina,Dutsi,Tier 2,14
North West,Katsina,Dutsin Ma,Tier 2,5
South South,Akwa-Ibom,Eastern Obolo,Tier 2,8
South South,Ebonyi,Ebonyi,Tier 2,9
North Central,Niger,Edati,Tier 2,10
South South,Ebonyi,Edda,Tier 2,12
South West,Osun,Ede North,Tier 2,3
South West,Osun,Ede South,Tier 2,8
South West,Ekiti,Efon,Tier 2,8
South West,Oyo,Egbeda,Tier 2,4
South West,Osun,Egbedore,Tier 2,1
South South,Edo,Egor,Tier 2,6
South East,Imo,Ehime Mbano,Tier 2,10
South West,Osun,Ejigbo,Tier 2,3
South South,Bayelsa,Ekeremor,Tier 2,8
South South,Akwa-Ibom,Eket,Tier 2,7
North Central,Kwara,Ekiti,Tier 2,0
South West,Ekiti,Ekiti East,Tier 2,10
South West,Ekiti,Ekiti South-West,Tier 2,5
South West,Ekiti,Ekiti West,Tier 2,11
South East,Anambra,Ekwusigo,Tier 2,0
South South,Rivers,Eleme,Tier 2,14
South South,Rivers,Emohua,Tier 2,11
South West,Ekiti,Emure,Tier 2,8
South East,Enugu,Enugu East,Tier 2,6
South East,Enugu,Enugu North,Tier 2,3
South East,Enugu,Enugu South,Tier 2,4
South West,Lagos,Epe,Tier 2,22
South South,Edo,Esan Central,Tier 2,5
South South,Edo,Esan North-East,Tier 2,2
South South,Edo,Esan South-East,Tier 2,2
South South,Edo,Esan West,Tier 2,7
South West,Ondo,Ese Odo,Tier 2,0
South South,Akwa-Ibom,Esit Eket,Tier 2,9
South South,Akwa-Ibom,Essien Udim,Tier 2,9
South South,Rivers,Etche,Tier 2,8
South South,Delta,Ethiope East,Tier 2,2
South South,Delta,Ethiope West,Tier 2,0
South West,Lagos,Eti-Osa,Tier 2,23
South South,Akwa-Ibom,Etim Ekpo,Tier 2,2
South South,Akwa-Ibom,Etinan,Tier 2,3
South South,Edo,Etsako Central,Tier 2,3
South South,Edo,Etsako East,Tier 2,8
South South,Edo,Etsako West,Tier 2,10
South South,Cross-River,Etung,Tier 2,0
South West,Ogun,Ewekoro,Tier 2,5
South East,Enugu,Ezeagu,Tier 2,4
South East,Imo,Ezinihitte,Tier 2,0
South South,Ebonyi,Ezza North,Tier 2,8
South South,Ebonyi,Ezza South,Tier 2,4
North West,Kano,Fagge,Tier 2,4
North West,Kebbi,Fakai,Tier 2,0
North East,Yobe,Fika,Tier 2,0
North East,Adamawa,Fufure,Tier 2,5
North East,Gombe,Funakaye,Tier 2,7
North East,Yobe,Fune,Tier 2,2
North West,Katsina,Funtua,Tier 2,16
North West,Kano,Gabasawa,Tier 2,5
North West,Sokoto,Gada,Tier 2,2
North West,Jigawa,Gagarawa,Tier 2,3
North East,Bauchi,Gamawa,Tier 2,11
North East,Bauchi,Ganjuwa,Tier 2,3
North East,Adamawa,Ganye,Tier 2,0
North West,Jigawa,Garki,Tier 2,3
North West,Kano,Garko,Tier 2,7
North West,Kano,Garun Mallam,Tier 2,7
North East,Taraba,Gashaka,Tier 2,0
North East,Taraba,Gassol,Tier 2,1
North West,Kano,Gaya,Tier 2,7
North Central,Niger,Gbako,Tier 2,9
North Central,Benue,Gboko,Tier 2,3
South West,Ekiti,Gbonyin,Tier 2,8
North East,Yobe,Geidam,Tier 2,1
North West,Kano,Gezawa,Tier 2,7
North East,Bauchi,Giade,Tier 2,9
North East,Adamawa,Girei,Tier 2,2
North West,Kaduna,Giwa,Tier 2,5
South South,Rivers,Gokana,Tier 2,11
North East,Gombe,Gombe,Tier 2,4
North East,Adamawa,Gombi,Tier 2,2
North West,Sokoto,Goronyo,Tier 2,0
North East,Borno,Gubio,Tier 2,10
North West,Sokoto,Gudu,Tier 2,2
North East,Yobe,Gujba,Tier 2,5
North East,Yobe,Gulani,Tier 2,3
North Central,Benue,Guma,Tier 2,0
North West,Jigawa,Gumel,Tier 2,8
North West,Zamfara,Gummi,Tier 2,9
North Central,Niger,Gurara,Tier 2,0
North West,Jigawa,Guri,Tier 2,6
North West,Zamfara,Gusau,Tier 2,7
North East,Adamawa,Guyuk,Tier 2,0
North West,Sokoto,Gwadabawa,Tier 2,0
North Central,FCT/Abuja,Gwagwalada,Tier 2,10
North West,Kano,Gwale,Tier 2,4
North West,Kebbi,Gwandu,Tier 2,1
North West,Jigawa,Gwaram,Tier 2,2
North West,Kano,Gwarzo,Tier 2,4
North Central,Benue,Gwer East,Tier 2,6
North Central,Benue,Gwer West,Tier 2,4
North West,Jigawa,Gwiwa,Tier 2,4
North East,Borno,Gwoza,Tier 2,0
North West,Jigawa,Hadejia,Tier 2,8
North East,Borno,Hawul,Tier 2,8
North East,Adamawa,Hong,Tier 2,3
South West,Oyo,Ibadan North,Tier 2,0
South West,Oyo,Ibadan North-East,Tier 2,9
South West,Oyo,Ibadan North-West,Tier 2,3
South West,Oyo,Ibadan South-East,Tier 2,3
South West,Oyo,Ibadan South-West,Tier 2,0
North Central,Kogi,Ibaji,Tier 2,0
South West,Oyo,Ibarapa Central,Tier 2,8
South West,Oyo,Ibarapa East,Tier 2,9
South West,Oyo,Ibarapa North,Tier 2,11
South West,Lagos,Ibeju-Lekki,Tier 2,6
South South,Akwa-Ibom,Ibeno,Tier 2,5
South South,Akwa-Ibom,Ibesikpo Asutan,Tier 2,5
North East,Taraba,Ibi,Tier 2,8
South South,Akwa-Ibom,Ibiono-Ibom,Tier 2,9
North Central,Kogi,Idah,Tier 2,4
South West,Ondo,Idanre,Tier 2,0
South East,Imo,Ideato North,Tier 2,0
South East,Imo,Ideato South,Tier 2,8
South East,Anambra,Idemili North,Tier 2,2
South East,Anambra,Idemili South,Tier 2,10
South West,Oyo,Ido,Tier 2,5
South West,Ekiti,Ido Osi,Tier 2,10
South West,Lagos,Ifako-Ijaiye,Tier 2,15
South West,Osun,Ife Central,Tier 2,1
South West,Osun,Ife East,Tier 2,4
South West,Osun,Ife North,Tier 2,6
South West,Osun,Ife South,Tier 2,2
South West,Osun,Ifedayo,Tier 2,1
South West,Ondo,Ifedore,Tier 2,0
South West,Osun,Ifelodun,Tier 2,11
South West,Ogun,Ifo,Tier 2,5
North West,Kaduna,Igabi,Tier 2,1
North Central,Kogi,Igalamela-Odolu,Tier 2,2
South East,Enugu,Igbo Etiti,Tier 2,2
South East,Enugu,Igbo Eze North,Tier 2,18
South East,Enugu,Igbo Eze South,Tier 2,1
South South,Edo,Igueben,Tier 2,0
South East,Anambra,Ihiala,Tier 2,12
South East,Imo,Ihitte/Uboma,Tier 2,0
South West,Ogun,Ijebu East,Tier 2,3
South West,Ogun,Ijebu North,Tier 2,0
South West,Ogun,Ijebu North East,Tier 2,7
South West,Ogun,Ijebu Ode,Tier 2,3
South West,Ekiti,Ijero,Tier 2,5
North Central,Kogi,Ijumu,Tier 2,6
South South,Akwa-Ibom,Ika,Tier 2,9
South South,Delta,Ika North East,Tier 2,0
South South,Delta,Ika South,Tier 2,0
North West,Kaduna,Ikara,Tier 2,0
South East,Imo,Ikeduru,Tier 2,5
South West,Lagos,Ikeja,Tier 2,13
South West,Ogun,Ikenne,Tier 2,7
South West,Ekiti,Ikere,Tier 2,8
South West,Ekiti,Ikole,Tier 2,11
South South,Cross-River,Ikom,Tier 2,6
South South,Akwa-Ibom,Ikono,Tier 2,9
South West,Lagos,Ikorodu,Tier 2,19
South South,Akwa-Ibom,Ikot Abasi (village),Tier 2,2
South South,Akwa-Ibom,Ikot Ekpene,Tier 2,0
South South,Edo,Ikpoba Okha,Tier 2,4
South South,Rivers,Ikwerre,Tier 2,12
South South,Ebonyi,Ikwo,Tier 2,7
South East,Abia,Ikwuano,Tier 2,8
South West,Osun,Ila,Tier 2,4
South West,Ondo,Ilaje,Tier 2,0
South West,Ondo,Ile-Oluji/Okeigbo,Tier 2,5
South West,Ekiti,Ilejemeje,Tier 2,6
South West,Osun,Ilesa East,Tier 2,2
South West,Osun,Ilesa West,Tier 2,0
North West,Sokoto,Illela,Tier 2,2
North Central,Kwara,Ilorin East,Tier 2,0
North Central,Kwara,Ilorin West,Tier 2,2
South West,Ogun,Imeko Afon,Tier 2,9
North West,Kebbi,Ingaski,Tier 2,0
North West,Katsina,Ingawa,Tier 2,7
South South,Akwa-Ibom,Ini,Tier 2,9
South West,Ogun,Ipokia,Tier 2,3
South West,Ondo,Irele,Tier 2,2
South West,Oyo,Irepo,Tier 2,9
South West,Osun,Irepodun,Tier 2,15
South West,Ekiti,Irepodun/Ifelodun,Tier 2,11
South West,Osun,Irewole,Tier 2,5
South West,Ekiti,Ise/Orun,Tier 2,5
South West,Oyo,Iseyin,Tier 2,4
South South,Ebonyi,Ishielu,Tier 2,5
South East,Enugu,Isi Uzo,Tier 2,6
South East,Imo,Isiala Mbano,Tier 2,9
South East,Abia,Isiala Ngwa North,Tier 2,7
South East,Abia,Isiala Ngwa South,Tier 2,8
North Central,Kwara,Isin,Tier 2,4
South West,Osun,Isokan,Tier 2,5
South South,Delta,Isoko North,Tier 2,2
South South,Delta,Isoko South,Tier 2,3
South East,Imo,Isu,Tier 2,9
South East,Abia,Isuikwuato,Tier 2,2
North East,Bauchi,Itas/Gadau,Tier 2,6
South West,Oyo,Itesiwaju,Tier 2,0
South South,Akwa-Ibom,Itu,Tier 2,7
South South,Ebonyi,Ivo,Tier 2,15
South West,Oyo,Iwajowa,Tier 2,6
South West,Osun,Iwo,Tier 2,2
South South,Ebonyi,Izzi,Tier 2,7
North West,Kaduna,Jaba,Tier 2,3
North East,Adamawa,Jada,Tier 2,0
North West,Jigawa,Jahun,Tier 2,1
North East,Yobe,Jakusko,Tier 2,0
North East,Taraba,Jalingo,Tier 2,4
North East,Bauchi,Jama'are,Tier 2,11
North West,Kebbi,Jega,Tier 2,2
North West,Kaduna,Jema'a,Tier 2,8
North East,Borno,Jere,Tier 2,2
North Central,Plateau,Jos East,Tier 2,4
North Central,Plateau,Jos North,Tier 2,3
North Central,Plateau,Jos South,Tier 2,2
North Central,Kogi,Kabba/Bunu,Tier 2,1
North West,Kano,Kabo,Tier 2,6
North West,Kaduna,Kachia,Tier 2,2
North West,Kaduna,Kaduna North,Tier 2,5
North West,Kaduna,Kaduna South,Tier 2,2
North West,Jigawa,Kafin Hausa,Tier 2,5
North West,Katsina,Kafur,Tier 2,11
North East,Borno,Kaga,Tier 2,0
North West,Kaduna,Kagarko,Tier 2,0
North West,Katsina,Kaita,Tier 2,7
South West,Oyo,Kajola,Tier 2,2
North West,Kaduna,Kajuru,Tier 2,2
North West,Kebbi,Kalgo,Tier 2,0
North East,Gombe,Kaltungo,Tier 2,8
North Central,Plateau,Kanam,Tier 2,0
North Central,Plateau,Kanke,Tier 2,1
North West,Katsina,Kankia,Tier 2,7
North West,Kano,Kano Municipal,Tier 2,5
North East,Yobe,Karasuwa,Tier 2,3
North West,Kano,Karaye,Tier 2,7
North East,Taraba,Karim Lamido,Tier 2,0
North Central,Nasarawa,Karu,Tier 2,6
North East,Bauchi,Katagum,Tier 2,7
North Central,Niger,Katcha,Tier 2,2
North West,Katsina,Katsina,Tier 2,9
North Central,Benue,Katsina-Ala,Tier 2,6
North West,Jigawa,Kaugama,Tier 2,7
North West,Kaduna,Kaura,Tier 2,7
North West,Zamfara,Kaura-Namoda,Tier 2,4
North West,Kaduna,Kauru,Tier 2,4
North West,Jigawa,Kazaure,Tier 2,8
North West,Sokoto,Kebbe,Tier 2,3
North Central,Nasarawa,Keffi,Tier 2,1
South South,Rivers,Khana,Tier 2,0
North West,Kano,Kibiya,Tier 2,5
North East,Bauchi,Kirfi,Tier 2,4
North West,Jigawa,Kiri Kasama,Tier 2,8
North West,Kano,Kiru,Tier 2,8
North West,Jigawa,Kiyawa,Tier 2,8
North West,Kebbi,Koko,Tier 2,0
North Central,Nasarawa,Kokona,Tier 2,6
South South,Bayelsa,Kolokuma/Opokuma,Tier 2,2
North East,Borno,Konduga,Tier 2,10
North Central,Benue,Konshisha,Tier 2,1
North Central,Niger,Kontagora,Tier 2,7
South West,Lagos,Kosofe,Tier 2,23
North Central,Kogi,Koton karfe,Tier 2,0
North West,Kaduna,Kubau,Tier 2,0
North West,Kaduna,Kudan,Tier 2,3
North Central,FCT/Abuja,Kuje,Tier 2,5
North West,Kano,Kumbotso,Tier 2,0
North West,Kano,Kunchi,Tier 2,2
North West,Kano,Kura,Tier 2,1
North West,Katsina,Kurfi,Tier 2,4
North East,Taraba,Kurmi,Tier 2,0
North West,Katsina,Kusada,Tier 2,9
North Central,FCT/Abuja,Kwali,Tier 2,9
North East,Gombe,Kwami,Tier 2,10
North Central,Benue,Kwande,Tier 2,5
North West,Sokoto,Kware,Tier 2,5
North East,Borno,Kwaya Kusar,Tier 2,7
North Central,Nasarawa,Lafia,Tier 2,8
South West,Oyo,Lagelu,Tier 2,5
South West,Lagos,Lagos Island,Tier 2,21
South West,Lagos,Lagos Mainland,Tier 2,19
North East,Adamawa,Lamurde,Tier 2,0
North Central,Plateau,Langtang North,Tier 2,1
North Central,Plateau,Langtang South,Tier 2,0
North Central,Niger,Lapai,Tier 2,6
North Central,Kwara,Latiagi,Tier 2,0
North East,Taraba,Lau,Tier 2,6
North Central,Niger,Lavun,Tier 2,9
North West,Kaduna,Lere,Tier 2,0
North Central,Benue,Logo,Tier 2,0
North Central,Kogi,Lokoja,Tier 2,5
North East,Yobe,Machina,Tier 2,0
North East,Adamawa,Madagali,Tier 2,0
North West,Kano,Madobi,Tier 2,7
North East,Borno,Mafa,Tier 2,0
North Central,Niger,Magama,Tier 2,10
North East,Borno,Magumeri,Tier 2,14
North West,Katsina,Mai'Adua,Tier 2,0
North East,Borno,Maiduguri,Tier 2,0
North West,Jigawa,Maigatari,Tier 2,7
North East,Adamawa,Maiha,Tier 2,0
North West,Kebbi,Maiyama,Tier 2,6
North West,Kaduna,Makarfi,Tier 2,1
North West,Kano,Makoda,Tier 2,5
North Central,Benue,Makurdi,Tier 2,1
North West,Jigawa,Malam Madori,Tier 2,2
North West,Katsina,Malumfashi,Tier 2,8
North Central,Plateau,Mangu,Tier 2,1
North West,Katsina,Mani,Tier 2,6
North West,Zamfara,Maradun,Tier 2,4
North Central,Niger,Mariga,Tier 2,7
North West,Zamfara,Maru,Tier 2,3
North Central,Niger,Mashegu,Tier 2,10
North West,Katsina,Mashi,Tier 2,0
North East,Adamawa,Mayo Belwa,Tier 2,4
South East,Imo,Mbaitoli,Tier 2,8
South South,Akwa-Ibom,Mbo,Tier 2,0
North East,Adamawa,Michika,Tier 2,0
North West,Jigawa,Miga,Tier 2,3
North Central,Plateau,Mikang,Tier 2,0
North West,Kano,Minjibir,Tier 2,0
North East,Bauchi,Misau,Tier 2,6
South South,Akwa-Ibom,Mkpat-Enin,Tier 2,0
South West,Ekiti,Moba,Tier 2,8
North Central,Niger,Mokwa,Tier 2,8
North Central,Kogi,Mopa-Muro,Tier 2,4
North Central,Kwara,Moro,Tier 2,4
North East,Adamawa,Mubi North,Tier 2,6
North East,Adamawa,Mubi South,Tier 2,5
North Central,Niger,Munya,Tier 2,0
South West,Lagos,Mushin,Tier 2,18
North East,Gombe,Nafada,Tier 2,11
North East,Yobe,Nangere,Tier 2,0
North West,Kano,Nasarawa,Tier 2,5
North Central,Nasarawa,Nasarawa Eggon,Tier 2,6
South South,Delta,Ndokwa East,Tier 2,1
South South,Delta,Ndokwa West,Tier 2,2
South South,Bayelsa,Nembe,Tier 2,1
North East,Borno,Nganzai,Tier 2,0
South East,Imo,Ngor Okpala,Tier 2,7
North East,Yobe,Nguru,Tier 2,4
North East,Bauchi,Ningi,Tier 2,4
South East,Imo,Njaba,Tier 2,2
South East,Anambra,Njikoka,Tier 2,28
South East,Enugu,Nkanu East,Tier 2,11
South East,Enugu,Nkanu West,Tier 2,5
South East,Imo,Nkwerre,Tier 2,3
South East,Anambra,Nnewi North,Tier 2,13
South East,Anambra,Nnewi South,Tier 2,12
South South,Akwa-Ibom,Nsit-Atai,Tier 2,4
South South,Akwa-Ibom,Nsit-Ibom,Tier 2,2
South South,Akwa-Ibom,Nsit-Ubium,Tier 2,8
South East,Enugu,Nsukka,Tier 2,5
North East,Adamawa,Numan,Tier 2,1
South East,Imo,Nwangele,Tier 2,3
South West,Ogun,Obafemi Owode,Tier 2,7
South South,Cross-River,Obanliku,Tier 2,0
North Central,Nasarawa,Obi,Tier 2,2
South East,Abia,Obi Ngwa,Tier 2,0
South South,Rivers,Obio-Akpor,Tier 2,6
South West,Osun,Obokun,Tier 2,6
South South,Akwa-Ibom,Obot Akara,Tier 2,0
South East,Imo,Obowo,Tier 2,9
South South,Cross-River,Obubra,Tier 2,1
South South,Cross-River,Obudu,Tier 2,3
South West,Ogun,Odeda,Tier 2,3
South West,Ondo,Odigbo,Tier 2,0
South West,Osun,Odo-Otin,Tier 2,7
South West,Ogun,Odogbolu,Tier 2,3
South South,Cross-River,Odukpani,Tier 2,2
North Central,Kwara,Offa,Tier 2,0
North Central,Kogi,Ofu,Tier 2,7
South South,Rivers,Ogba-Egbema-Ndoni,Tier 2,12
North Central,Benue,Ogbadibo,Tier 2,4
South East,Anambra,Ogbaru,Tier 2,9
South South,Bayelsa,Ogbia,Tier 2,5
South West,Oyo,Ogbomosho North,Tier 2,0
South West,Oyo,Ogbomosho South,Tier 2,2
South West,Oyo,Ogo Oluwa,Tier 2,0
South South,Cross-River,Ogoja,Tier 2,0
South South,Rivers,Ogu-Bolo,Tier 2,0
South West,Ogun,Ogun Waterside,Tier 2,3
South East,Imo,Oguta,Tier 2,20
South East,Abia,Ohafia,Tier 2,0
South East,Imo,Ohaji/Egbema,Tier 2,4
South South,Ebonyi,Ohaozara,Tier 2,10
South South,Ebonyi,Ohaukwu,Tier 2,13
North Central,Benue,Ohimini,Tier 2,2
South East,Enugu,Oji River,Tier 2,15
South West,Lagos,Ojo,Tier 2,8
North Central,Benue,Oju,Tier 2,1
North Central,Kwara,Oke Ero,Tier 2,3
North Central,Kogi,Okehi,Tier 2,2
North Central,Kogi,Okene,Tier 2,3
South East,Imo,Okigwe,Tier 2,2
South South,Rivers,Okirika,Tier 2,0
South West,Ondo,Okitipupa,Tier 2,1
South South,Akwa-Ibom,Okobo,Tier 2,4
South South,Delta,Okpe,Tier 2,0
North Central,Benue,Okpokwu,Tier 2,1
South West,Osun,Ola-Oluwa,Tier 2,6
North Central,Kogi,Olamaboro,Tier 2,6
South West,Osun,Olorunda,Tier 2,5
South West,Oyo,Olorunsogo,Tier 2,8
South West,Oyo,Oluyole,Tier 2,3
North Central,Kogi,Omala,Tier 2,6
South South,Rivers,Omuma,Tier 2,1
South West,Oyo,Ona Ara,Tier 2,4
South West,Ondo,Ondo East,Tier 2,0
South West,Ondo,Ondo West,Tier 2,6
South South,Ebonyi,Onicha,Tier 2,2
South East,Anambra,Onitsha North,Tier 2,14
South East,Anambra,Onitsha South,Tier 2,9
South South,Akwa-Ibom,Onna,Tier 2,7
South East,Imo,Onuimo,Tier 2,2
South South,Rivers,Opobo-Nkoro,Tier 2,0
South South,Edo,Oredo,Tier 2,5
South West,Oyo,Orelope,Tier 2,2
South South,Edo,Orhionmwon,Tier 2,2
South West,Osun,Ori-Ade,Tier 2,0
South West,Oyo,Orire,Tier 2,2
South East,Imo,Orlu,Tier 2,3
South West,Osun,Orolu,Tier 2,4
South South,Akwa-Ibom,Oron,Tier 2,1
South East,Imo,Orsu,Tier 2,8
South East,Imo,Oru East,Tier 2,1
South East,Imo,Oru West,Tier 2,10
South South,Akwa-Ibom,Oruk Anam,Tier 2,9
South East,Anambra,Orumba North,Tier 2,0
South East,Anambra,Orumba South,Tier 2,13
South West,Ondo,Ose,Tier 2,1
South South,Delta,Oshimili North,Tier 2,2
South South,Delta,Oshimili South,Tier 2,2
South West,Lagos,Oshodi-Isolo,Tier 2,13
South East,Abia,Osisioma,Tier 2,0
South West,Osun,Osogbo,Tier 2,4
North Central,Benue,Oturkpo,Tier 2,5
South South,Edo,Ovia North-East,Tier 2,0
South South,Edo,Ovia South-West,Tier 2,4
South South,Edo,Owan East,Tier 2,3
South South,Edo,Owan West,Tier 2,0
South East,Imo,Owerri Municipal,Tier 2,12
South East,Imo,Owerri North,Tier 2,4
South East,Imo,Owerri West,Tier 2,2
South West,Ondo,Owo,Tier 2,0
South West,Ekiti,Oye,Tier 2,4
South East,Anambra,Oyi,Tier 2,13
South South,Rivers,Oyigbo,Tier 2,12
South West,Oyo,Oyo East,Tier 2,1
South West,Oyo,Oyo West,Tier 2,1
North Central,Kwara,Oyun,Tier 2,0
North Central,Niger,Paikoro,Tier 2,6
North Central,Plateau,Pankshin,Tier 2,1
South South,Delta,Patani,Tier 2,9
South South,Rivers,Port Harcourt,Tier 2,4
North East,Yobe,Potiskum,Tier 2,1
North Central,Plateau,Quaran Pan,Tier 2,0
North Central,Niger,Rafi,Tier 2,8
North West,Kano,Rano,Tier 2,6
South West,Ogun,Remo North,Tier 2,7
North West,Katsina,Rimi,Tier 2,8
North West,Kano,Rimin Gado,Tier 2,7
North West,Jigawa,Ringim,Tier 2,5
North Central,Plateau,Riyom,Tier 2,1
North West,Kano,Rogo,Tier 2,0
North West,Jigawa,Roni,Tier 2,6
North West,Kaduna,Sabon Gari,Tier 2,2
South South,Bayelsa,Sagbama,Tier 2,2
North West,Kebbi,Sakaba,Tier 2,4
South West,Oyo,Saki East,Tier 2,4
South West,Oyo,Saki West,Tier 2,4
North West,Katsina,Sandamu,Tier 2,4
North West,Kaduna,Sanga,Tier 2,2
South South,Delta,Sapele,Tier 2,7
North East,Taraba,Sardauna,Tier 2,0
South West,Ogun,Shagamu,Tier 2,9
North West,Sokoto,Shagari,Tier 2,4
North West,Kebbi,Shanga,Tier 2,0
North East,Borno,Shani,Tier 2,3
North West,Kano,Shanono,Tier 2,5
North East,Adamawa,Shelleng,Tier 2,5
North Central,Plateau,Shendam,Tier 2,0
North East,Bauchi,Shira,Tier 2,8
North Central,Niger,Shiroro,Tier 2,0
North East,Gombe,Shongom,Tier 2,8
North West,Sokoto,Silame,Tier 2,0
North West,Kaduna,Soba,Tier 2,0
North West,Sokoto,Sokoto North,Tier 2,1
North West,Sokoto,Sokoto South,Tier 2,7
South West,Lagos,Somolu,Tier 2,13
North East,Adamawa,Song,Tier 2,7
South South,Bayelsa,Southern Ijaw,Tier 2,0
North West,Jigawa,Sule Tankarkar,Tier 2,4
North Central,Niger,Suleja,Tier 2,10
North West,Kano,Sumaila,Tier 2,5
North West,Kebbi,Suru,Tier 2,6
South West,Oyo,Surulere,Tier 2,22
North Central,Niger,Tafa,Tier 2,0
North East,Bauchi,Tafawa Balewa,Tier 2,7
South South,Rivers,Tai,Tier 2,0
North West,Kano,Takai,Tier 2,1
North East,Taraba,Takum,Tier 2,1
North West,Zamfara,Talata-Mafara,Tier 2,3
North West,Sokoto,Tambuwal,Tier 2,3
North West,Sokoto,Tangaza,Tier 2,0
North West,Kano,Tarauni,Tier 2,7
North Central,Benue,Tarka,Tier 2,0
North East,Yobe,Tarmuwa,Tier 2,4
North West,Jigawa,Taura,Tier 2,0
North West,Kano,Tofa,Tier 2,5
North East,Bauchi,Toro,Tier 2,2
North Central,Nasarawa,Toto,Tier 2,8
North East,Adamawa,Toungo,Tier 2,2
North West,Zamfara,Tsafe,Tier 2,2
North West,Kano,Tsanyawa,Tier 2,6
North West,Kano,Tudun Wada,Tier 2,5
South East,Enugu,Udenu,Tier 2,13
South East,Enugu,Udi,Tier 2,7
South South,Delta,Udu,Tier 2,0
South South,Akwa-Ibom,Udung-Uko,Tier 2,0
South South,Delta,Ughelli North,Tier 2,4
South South,Delta,Ughelli South,Tier 2,1
South East,Abia,Ugwunagbo,Tier 2,6
South South,Edo,Uhunmwonde,Tier 2,4
South South,Akwa-Ibom,Ukanafun,Tier 2,9
North Central,Benue,Ukum,Tier 2,0
South East,Abia,Ukwa East,Tier 2,6
South East,Abia,Ukwa West,Tier 2,6
South South,Delta,Ukwuani,Tier 2,1
South East,Abia,Umu Nneochi,Tier 2,0
South East,Abia,Umuahia North,Tier 2,6
South East,Abia,Umuahia South,Tier 2,12
North West,Kano,Ungogo,Tier 2,1
South South,Akwa-Ibom,Uruan,Tier 2,7
South South,Akwa-Ibom,Urue-Offong/Oruko,Tier 2,2
North Central,Benue,Ushongo,Tier 2,2
North East,Taraba,Ussa,Tier 2,0
South South,Delta,Uvwie,Tier 2,1
South South,Akwa-Ibom,Uyo,Tier 2,8
South East,Enugu,Uzo-Uwani,Tier 2,12
North Central,Benue,Vandeikya,Tier 2,3
North West,Sokoto,Wamakko,Tier 2,2
North Central,Nasarawa,Wamba,Tier 2,8
North West,Kano,Warawa,Tier 2,6
North East,Bauchi,Warji,Tier 2,6
South South,Delta,Warri North,Tier 2,7
South South,Delta,Warri South,Tier 2,7
South South,Delta,Warri South West,Tier 2,1
North Central,Plateau,Wase,Tier 2,0
North West,Kano,Wudil,Tier 2,4
North East,Taraba,Wukari,Tier 2,3
North West,Sokoto,Wurno,Tier 2,0
North Central,Niger,Wushishi,Tier 2,0
North West,Sokoto,Yabo,Tier 2,4
North Central,Kogi,Yagba East,Tier 2,2
North Central,Kogi,Yagba West,Tier 2,7
South South,Cross-River,Yakurr,Tier 2,1
South South,Cross-River,Yala,Tier 2,0
North East,Gombe,Yamaltu/Deba,Tier 2,5
North West,Jigawa,Yankwashi,Tier 2,3
North West,Kebbi,Yauri,Tier 2,0
South South,Bayelsa,Yenagoa,Tier 2,4
South West,Ogun,Yewa North,Tier 2,13
South West,Ogun,Yewa South,Tier 2,15
North East,Adamawa,Yola North,Tier 2,2
North East,Adamawa,Yola South,Tier 2,2
North East,Taraba,Yorro,Tier 2,2
