region,state,lga,Tier_avail_cap,Tier_all_metrics,Percentage_income_spend_on_energy,Household_income_dist,Household_income_value
South South,Cross-River,Calabar Municipal,Tier 3,Tier 3,10,"N50,001 - N100,000",85000
South South,Cross-River,Calabar Municipal,Tier 0,Tier 0,0,"N0 -  N50,000",50000
South South,Delta,Ughelli North,Tier 1,Tier 1,9,"N100,001 - N250,000",200000
South South,Bayelsa,Nembe,Tier 1,Tier 1,2,"N250,001 - N500,000",300000
South South,Cross-River,Calabar Municipal,Tier 1,Tier 1,3,"N50,001 - N100,000",70000
South South,Cross-River,Calabar Municipal,Tier 0,Tier 0,0,"N100,001 - N250,000",150000
South South,Cross-River,Calabar South,Tier 0,Tier 0,0,"N0 -  N50,000",30000
South South,Bayelsa,Yenagoa,Tier 1,Tier 4,119,"N50,001 - N100,000",80000
South South,Bayelsa,Yenagoa,Tier 1,Tier 3,14,"N250,001 - N500,000",300000
South South,Bayelsa,Yenagoa,Tier 0,Tier 0,0,"N100,001 - N250,000",150000
South South,Rivers,Obio-Akpor,Tier 1,Tier 1,11,"N250,001 - N500,000",300000
South South,Bayelsa,Yenagoa,Tier 0,Tier 0,65,"N50,001 - N100,000",60000
South South,Rivers,Obio-Akpor,Tier 0,Tier 0,0,"N250,001 - N500,000",400000
South West,Lagos,Ifako-Ijaiye,Tier 1,Tier 1,12,"N250,001 - N500,000",300000
South West,Ondo,Akure South,Tier 1,Tier 3,25,"N100,001 - N250,000",120000
South West,Ekiti,Ikere,Tier 0,Tier 0,3,"N100,001 - N250,000",150000
South West,Ekiti,Ikere,Tier 0,Tier 0,0,"N100,001 - N250,000",250000
South West,Ekiti,Ikere,Tier 1,Tier 4,16,"N100,001 - N250,000",250000
South West,Ekiti,Ikere,Tier 0,Tier 0,0,"N50,001 - N100,000",60000
South West,Ekiti,Ikere,Tier 3,Tier 4,10,"N100,001 - N250,000",120000
South West,Ekiti,Ikere,Tier 3,Tier 3,33,"N100,001 - N250,000",120000
South West,Ekiti,Ikere,Tier 3,Tier 3,10,"N50,001 - N100,000",60000
South West,Ekiti,Ado Ekiti,Tier 1,Tier 1,14,"N50,001 - N100,000",70000
South West,Ekiti,Ado Ekiti,Tier 1,Tier 1,4,"N50,001 - N100,000",80000
South West,Ekiti,Ado Ekiti,Tier 1,Tier 1,4,"N50,001 - N100,000",70000
South West,Ekiti,Ado Ekiti,Tier 0,Tier 0,0,"N50,001 - N100,000",70000
South West,Oyo,Lagelu,Tier 0,Tier 0,2,"N250,001 - N500,000",350000
South West,Ekiti,Ikere,Tier 1,Tier 1,2,"N100,001 - N250,000",200000
South West,Ekiti,Ikere,Tier 0,Tier 0,3,"N50,001 - N100,000",100000
South West,Ekiti,Ikere,Tier 0,Tier 0,6,"N250,001 - N500,000",300000
South West,Ekiti,Ikere,Tier 1,Tier 1,1,"N250,001 - N500,000",500000
South West,Ogun,Abeokuta North,Tier 2,Tier 2,14,"N250,001 - N500,000",300000
South West,Ekiti,Ado Ekiti,Tier 1,Tier 1,10,"N100,001 - N250,000",150000
South West,Ekiti,Ado Ekiti,Tier 0,Tier 0,5,"N50,001 - N100,000",55000
South West,Ekiti,Ado Ekiti,Tier 0,Tier 0,1,"N500,001 - N1,000,000",600000
South West,Ekiti,Ado Ekiti,Tier 0,Tier 0,3,"N50,001 - N100,000",60000
South West,Ekiti,Ado Ekiti,Tier 1,Tier 1,204,"N50,001 - N100,000",80000
South West,Ekiti,Ado Ekiti,Tier 0,Tier 0,0,"N100,001 - N250,000",250000
South South,Rivers,Obio-Akpor,Tier 0,Tier 0,26,"N250,001 - N500,000",260000
South South,Rivers,Emohua,Tier 3,Tier 3,2,"N100,001 - N250,000",200000
South South,Rivers,Obio-Akpor,Tier 1,Tier 3,4,"N100,001 - N250,000",150000
South South,Bayelsa,Ogbia,Tier 0,Tier 0,0,"N0 -  N50,000",30000
South South,Bayelsa,Ogbia,Tier 0,Tier 0,0,"N0 -  N50,000",30000
South South,Bayelsa,Ogbia,Tier 0,Tier 0,0,"N50,001 - N100,000",100000
South South,Bayelsa,Ogbia,Tier 0,Tier 0,0,"N50,001 - N100,000",100000
South South,Bayelsa,Ogbia,Tier 2,Tier 2,12,"N1,000,001 - N5,000,000",4000000
South South,Bayelsa,Ogbia,Tier 0,Tier 0,256,"N50,001 - N100,000",60000
South South,Rivers,Obio-Akpor,Tier 1,Tier 3,5,"N100,001 - N250,000",130000
South South,Cross-River,Akpabuyo,Tier 0,Tier 0,162,"N50,001 - N100,000",70000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N100,001 - N250,000",200000
South South,Bayelsa,Ogbia,Tier 0,Tier 0,1,"N50,001 - N100,000",70000
South South,Cross-River,Calabar South,Tier 2,Tier 2,6,"N0 -  N50,000",36000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,42,"N0 -  N50,000",50000
South South,Cross-River,Akpabuyo,Tier 0,Tier 0,150,"N0 -  N50,000",45000
South South,Bayelsa,Ogbia,Tier 0,Tier 0,3,"N100,001 - N250,000",120000
South South,Rivers,Obio-Akpor,Tier 1,Tier 1,6,"N50,001 - N100,000",80000
South South,Rivers,Emohua,Tier 3,Tier 3,2,"N100,001 - N250,000",150000
South South,Bayelsa,Kolokuma/Opokuma,Tier 0,Tier 0,0,"N100,001 - N250,000",200000
South South,Cross-River,Akpabuyo,Tier 1,Tier 3,32,"N50,001 - N100,000",100000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N0 -  N50,000",50000
South South,Rivers,Emohua,Tier 2,Tier 2,3,"N50,001 - N100,000",100000
South South,Rivers,Emohua,Tier 3,Tier 3,1,"N250,001 - N500,000",300000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N0 -  N50,000",40000
South South,Cross-River,Akpabuyo,Tier 0,Tier 0,0,"N0 -  N50,000",28000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N50,001 - N100,000",100000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N50,001 - N100,000",60000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N50,001 - N100,000",60000
South South,Rivers,Obio-Akpor,Tier 1,Tier 1,12,"N50,001 - N100,000",60000
South South,Cross-River,Akpabuyo,Tier 0,Tier 0,49,"N0 -  N50,000",30000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N50,001 - N100,000",80000
South South,Delta,Isoko North,Tier 1,Tier 1,114,"N100,001 - N250,000",110000
South South,Rivers,Obio-Akpor,Tier 1,Tier 2,6,"N50,001 - N100,000",90000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N100,001 - N250,000",150000
South South,Bayelsa,Southern Ijaw,Tier 0,Tier 0,0,"N50,001 - N100,000",100000
South South,Rivers,Obio-Akpor,Tier 0,Tier 0,0,"N0 -  N50,000",40000
South South,Cross-River,Akpabuyo,Tier 0,Tier 0,10,"N0 -  N50,000",20000
South South,Rivers,Obio-Akpor,Tier 1,Tier 1,5,"N50,001 - N100,000",60000
South South,Cross-River,Akpabuyo,Tier 1,Tier 2,3,"N0 -  N50,000",30000
South South,Cross-River,Akpabuyo,Tier 1,Tier 2,2,"N100,001 - N250,000",120000
South South,Cross-River,Akpabuyo,Tier 1,Tier 2,10,"N100,001 - N250,000",250000
South South,Cross-River,Akpabuyo,Tier 0,Tier 0,50,"N250,001 - N500,000",500000
South South,Rivers,Emohua,Tier 3,Tier 3,2,"N100,001 - N250,000",150000
South South,Rivers,Emohua,Tier 2,Tier 2,2,"N100,001 - N250,000",200000
South South,Rivers,Obio-Akpor,Tier 1,Tier 1,5,"N50,001 - N100,000",80000
South South,Rivers,Obio-Akpor,Tier 0,Tier 0,8,"N250,001 - N500,000",300000
South South,Rivers,Obio-Akpor,Tier 0,Tier 0,1,"N100,001 - N250,000",200000
South West,Ogun,Abeokuta North,Tier 0,Tier 0,4,"N100,001 - N250,000",150000
South West,Ogun,Abeokuta North,Tier 0,Tier 0,193,"N50,001 - N100,000",80000
South West,Ogun,Abeokuta North,Tier 0,Tier 0,2,"N0 -  N50,000",50000
South West,Ogun,Abeokuta North,Tier 0,Tier 0,12,"N100,001 - N250,000",150000
South West,Ogun,Abeokuta South,Tier 0,Tier 0,23,"N0 -  N50,000",20000
South West,Ogun,Abeokuta North,Tier 0,Tier 0,3,"N50,001 - N100,000",60000
South West,Ogun,Abeokuta North,Tier 0,Tier 0,2,"N50,001 - N100,000",100000
South West,Ogun,Abeokuta North,Tier 0,Tier 0,2,"N50,001 - N100,000",80000
South West,Ogun,Abeokuta North,Tier 0,Tier 0,18,"N100,001 - N250,000",250000
South West,Oyo,Ibadan North-West,Tier 0,Tier 0,4,"N50,001 - N100,000",55000
South West,Ogun,Abeokuta South,Tier 0,Tier 0,10,"N100,001 - N250,000",150000
South West,Oyo,Oluyole,Tier 0,Tier 0,8,"N100,001 - N250,000",200000
South West,Oyo,Ibadan North-West,Tier 0,Tier 0,3,"N50,001 - N100,000",100000
South West,Ekiti,Emure,Tier 0,Tier 3,7,"N50,001 - N100,000",60000
South West,Lagos,Agege,Tier 0,Tier 4,14,"N100,001 - N250,000",240000
South West,Oyo,Oluyole,Tier 0,Tier 0,2,"N100,001 - N250,000",150000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 3,10,"N250,001 - N500,000",300000
South West,Ekiti,Ado Ekiti,Tier 0,Tier 0,0,"N500,001 - N1,000,000",750000
South West,Ondo,Ondo West,Tier 0,Tier 0,2,"N100,001 - N250,000",150000
South West,Ekiti,Ado Ekiti,Tier 0,Tier 0,0,"N100,001 - N250,000",250000
South West,Oyo,Oluyole,Tier 1,Tier 1,3,"N100,001 - N250,000",200000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 3,12,"N100,001 - N250,000",250000
South West,Lagos,Agege,Tier 1,Tier 2,6,"N50,001 - N100,000",70000
South West,Oyo,Oluyole,Tier 1,Tier 1,5,"N100,001 - N250,000",200000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 0,37,"N50,001 - N100,000",100000
South West,Lagos,Agege,Tier 0,Tier 4,6,"N250,001 - N500,000",280000
South West,Ondo,Ondo West,Tier 1,Tier 1,215,"N50,001 - N100,000",100000
South West,Ondo,Ondo West,Tier 1,Tier 1,6,"N50,001 - N100,000",70000
South West,Lagos,Agege,Tier 3,Tier 3,39,"N50,001 - N100,000",70000
South West,Ogun,Abeokuta North,Tier 0,Tier 0,13,"N250,001 - N500,000",500000
South West,Ogun,Abeokuta North,Tier 0,Tier 0,3,"N50,001 - N100,000",70000
South West,Ogun,Abeokuta North,Tier 0,Tier 0,106,"N100,001 - N250,000",200000
South West,Osun,Ede North,Tier 0,Tier 0,8,"N50,001 - N100,000",80000
South West,Lagos,Agege,Tier 3,Tier 3,6,"N100,001 - N250,000",250000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 0,259,"N50,001 - N100,000",80000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 0,17,"N50,001 - N100,000",90000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 0,22,"N50,001 - N100,000",85000
South West,Ogun,Obafemi Owode,Tier 1,Tier 1,359,"N0 -  N50,000",35000
South West,Lagos,Alimosho,Tier 3,Tier 3,6,"N250,001 - N500,000",500000
South West,Lagos,Alimosho,Tier 0,Tier 2,17,"N100,001 - N250,000",150000
South West,Osun,Irepodun,Tier 0,Tier 0,32,"N50,001 - N100,000",100000
South West,Osun,Ede North,Tier 0,Tier 0,3,"N50,001 - N100,000",80000
South West,Lagos,Agege,Tier 3,Tier 4,33,"N250,001 - N500,000",300000
South West,Lagos,Alimosho,Tier 1,Tier 1,9,"N250,001 - N500,000",300000
South West,Lagos,Alimosho,Tier 2,Tier 2,8,"N250,001 - N500,000",300000
South West,Lagos,Alimosho,Tier 1,Tier 1,22,"N0 -  N50,000",40000
South West,Lagos,Alimosho,Tier 1,Tier 1,7,"N50,001 - N100,000",100000
South West,Lagos,Ifako-Ijaiye,Tier 1,Tier 1,30,"N100,001 - N250,000",200000
South West,Osun,Irepodun,Tier 1,Tier 1,5,"N50,001 - N100,000",100000
South West,Ekiti,Emure,Tier 3,Tier 3,4,"N50,001 - N100,000",80000
South West,Ekiti,Emure,Tier 0,Tier 3,11,"N50,001 - N100,000",90000
South West,Ekiti,Emure,Tier 1,Tier 3,5,"N50,001 - N100,000",65000
South West,Ekiti,Emure,Tier 1,Tier 3,5,"N100,001 - N250,000",150000
South West,Ekiti,Emure,Tier 0,Tier 0,0,"N0 -  N50,000",35000
South West,Osun,Ede North,Tier 0,Tier 0,412,"N50,001 - N100,000",60000
South West,Osun,Irepodun,Tier 1,Tier 1,10,"N0 -  N50,000",50000
South West,Ondo,Ondo East,Tier 1,Tier 1,8,"N50,001 - N100,000",60000
South West,Ondo,Ondo East,Tier 2,Tier 2,34,"N100,001 - N250,000",130000
South West,Ondo,Ondo East,Tier 1,Tier 1,75,"N100,001 - N250,000",135000
South West,Ondo,Ondo East,Tier 3,Tier 3,5,"N100,001 - N250,000",140000
South West,Lagos,Agege,Tier 0,Tier 4,7,"N100,001 - N250,000",180000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 0,8,"N0 -  N50,000",40000
South West,Lagos,Agege,Tier 3,Tier 3,22,"N100,001 - N250,000",150000
South West,Lagos,Agege,Tier 3,Tier 3,11,"N100,001 - N250,000",250000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 0,14,"N100,001 - N250,000",250000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 0,21,"N50,001 - N100,000",87000
South West,Oyo,Ibadan North-West,Tier 0,Tier 0,10,"N50,001 - N100,000",68000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 2,29,"N250,001 - N500,000",300000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 2,26,"N100,001 - N250,000",250000
South West,Lagos,Agege,Tier 3,Tier 3,5,"N250,001 - N500,000",400000
South West,Lagos,Ifako-Ijaiye,Tier 1,Tier 3,13,"N100,001 - N250,000",200000
South West,Ogun,Obafemi Owode,Tier 3,Tier 3,9,"N250,001 - N500,000",400000
South West,Osun,Ifelodun,Tier 0,Tier 0,8,"N100,001 - N250,000",140000
South West,Osun,Ifelodun,Tier 0,Tier 0,9,"N50,001 - N100,000",80000
South West,Lagos,Agege,Tier 0,Tier 3,14,"N50,001 - N100,000",90000
South West,Osun,Ifelodun,Tier 0,Tier 0,15,"N50,001 - N100,000",100000
South West,Osun,Ifelodun,Tier 0,Tier 0,74,"N100,001 - N250,000",110000
South West,Osun,Ifelodun,Tier 1,Tier 1,40,"N100,001 - N250,000",200000
South West,Osun,Ifelodun,Tier 0,Tier 0,4,"N100,001 - N250,000",150000
South West,Osun,Ifelodun,Tier 0,Tier 0,2,"N100,001 - N250,000",150000
South West,Osun,Ifelodun,Tier 0,Tier 0,5,"N50,001 - N100,000",100000
South West,Lagos,Alimosho,Tier 0,Tier 2,13,"N50,001 - N100,000",80000
South West,Osun,Irepodun,Tier 0,Tier 0,0,"N1,000,001 - N5,000,000",5000000
South West,Oyo,Ibadan North-West,Tier 0,Tier 0,2,"N250,001 - N500,000",270000
South West,Ondo,Ondo East,Tier 2,Tier 2,3,"N50,001 - N100,000",80000
South West,Ondo,Ondo East,Tier 1,Tier 1,4,"N100,001 - N250,000",126000
South West,Ondo,Ondo East,Tier 1,Tier 1,13,"N50,001 - N100,000",80000
South West,Ondo,Ondo East,Tier 1,Tier 1,10,"N50,001 - N100,000",100000
South West,Ondo,Ondo East,Tier 1,Tier 1,7,"N50,001 - N100,000",60000
South West,Ondo,Ondo East,Tier 0,Tier 0,263,"N50,001 - N100,000",70000
South West,Ondo,Ondo East,Tier 1,Tier 1,8,"N50,001 - N100,000",60000
South West,Ogun,Obafemi Owode,Tier 0,Tier 0,2,"N100,001 - N250,000",150000
South West,Lagos,Agege,Tier 0,Tier 0,3,"N100,001 - N250,000",200000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 2,40,"N100,001 - N250,000",150000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 3,28,"N100,001 - N250,000",250000
South West,Ogun,Abeokuta South,Tier 1,Tier 1,8,"N50,001 - N100,000",80000
South West,Lagos,Agege,Tier 1,Tier 1,3,"N100,001 - N250,000",200000
South West,Lagos,Agege,Tier 3,Tier 3,12,"N100,001 - N250,000",250000
South West,Lagos,Ifako-Ijaiye,Tier 1,Tier 1,5,"N50,001 - N100,000",100000
South West,Oyo,Ibadan North-West,Tier 0,Tier 0,3,"N100,001 - N250,000",190000
South West,Lagos,Agege,Tier 0,Tier 4,14,"N100,001 - N250,000",120000
South West,Osun,Ifelodun,Tier 0,Tier 0,14,"N50,001 - N100,000",60000
South West,Ogun,Obafemi Owode,Tier 1,Tier 1,3,"N50,001 - N100,000",90000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 3,37,"N500,001 - N1,000,000",600000
South West,Ogun,Abeokuta South,Tier 0,Tier 0,27,"N50,001 - N100,000",80000
South West,Ondo,Ondo West,Tier 0,Tier 0,2,"N50,001 - N100,000",70000
South West,Ondo,Ondo West,Tier 0,Tier 0,11,"N250,001 - N500,000",300000
South West,Ondo,Ondo West,Tier 0,Tier 0,1,"N100,001 - N250,000",150000
South West,Ondo,Ondo West,Tier 1,Tier 1,19,"N50,001 - N100,000",80000
South West,Ondo,Ondo West,Tier 0,Tier 0,34,"N50,001 - N100,000",88000
South West,Ondo,Ondo West,Tier 0,Tier 0,4,"N0 -  N50,000",50000
South West,Ogun,Abeokuta South,Tier 0,Tier 0,5,"N100,001 - N250,000",150000
South West,Lagos,Agege,Tier 1,Tier 1,123,"N100,001 - N250,000",180000
South West,Ogun,Odeda,Tier 0,Tier 0,8,"N100,001 - N250,000",200000
South West,Lagos,Agege,Tier 1,Tier 3,16,"N100,001 - N250,000",250000
South West,Ogun,Odeda,Tier 1,Tier 1,1,"N50,001 - N100,000",70000
South West,Ogun,Abeokuta South,Tier 1,Tier 1,6,"N100,001 - N250,000",200000
South West,Lagos,Ifako-Ijaiye,Tier 3,Tier 3,13,"N100,001 - N250,000",200000
South West,Lagos,Ifako-Ijaiye,Tier 1,Tier 3,36,"N250,001 - N500,000",300000
South West,Lagos,Ifako-Ijaiye,Tier 2,Tier 2,5,"N100,001 - N250,000",200000
South West,Lagos,Ifako-Ijaiye,Tier 1,Tier 3,54,"N100,001 - N250,000",200000
South West,Lagos,Alimosho,Tier 0,Tier 3,23,"N100,001 - N250,000",150000
South West,Osun,Irepodun,Tier 0,Tier 0,26,"N50,001 - N100,000",100000
South West,Lagos,Agege,Tier 1,Tier 3,23,"N250,001 - N500,000",400000
South West,Osun,Ede North,Tier 1,Tier 1,258,"N50,001 - N100,000",60000
South West,Ogun,Obafemi Owode,Tier 1,Tier 1,3,"N100,001 - N250,000",200000
South West,Lagos,Agege,Tier 1,Tier 1,3,"N250,001 - N500,000",300000
South West,Lagos,Ifako-Ijaiye,Tier 2,Tier 2,22,"N100,001 - N250,000",200000
South West,Ekiti,Irepodun/Ifelodun,Tier 1,Tier 1,7,"N50,001 - N100,000",70000
South West,Osun,Ede North,Tier 0,Tier 0,4,"N0 -  N50,000",50000
South West,Osun,Irepodun,Tier 1,Tier 1,17,"N0 -  N50,000",50000
South West,Ogun,Obafemi Owode,Tier 1,Tier 1,19,"N100,001 - N250,000",200000
South West,Lagos,Ifako-Ijaiye,Tier 1,Tier 1,17,"N1,000,001 - N5,000,000",1500000
South West,Osun,Irepodun,Tier 0,Tier 0,4,"N100,001 - N250,000",150000
South West,Ogun,Obafemi Owode,Tier 2,Tier 2,6,"N0 -  N50,000",40000
South West,Osun,Ede North,Tier 0,Tier 0,39,"N100,001 - N250,000",120000
South West,Osun,Atakunmosa East,Tier 0,Tier 0,10,"N0 -  N50,000",50000
South West,Ogun,Obafemi Owode,Tier 1,Tier 1,8,"N50,001 - N100,000",80000
South West,Osun,Ede North,Tier 0,Tier 0,20,"N0 -  N50,000",50000
South West,Lagos,Alimosho,Tier 0,Tier 4,26,"N250,001 - N500,000",500000
South West,Osun,Ede North,Tier 0,Tier 0,4,"N0 -  N50,000",50000
South West,Osun,Atakunmosa East,Tier 3,Tier 3,11,"N50,001 - N100,000",100000
South West,Lagos,Ifako-Ijaiye,Tier 3,Tier 3,27,"N100,001 - N250,000",120000
South West,Ekiti,Irepodun/Ifelodun,Tier 1,Tier 1,10,"N100,001 - N250,000",110000
South West,Ekiti,Irepodun/Ifelodun,Tier 0,Tier 0,0,"N50,001 - N100,000",80000
South West,Ekiti,Irepodun/Ifelodun,Tier 1,Tier 1,70,"N50,001 - N100,000",70000
South West,Ekiti,Irepodun/Ifelodun,Tier 3,Tier 3,259,"N100,001 - N250,000",120000
South West,Ekiti,Irepodun/Ifelodun,Tier 1,Tier 1,6,"N50,001 - N100,000",80000
South West,Lagos,Ifako-Ijaiye,Tier 0,Tier 0,34,"N100,001 - N250,000",200000
South West,Ogun,Obafemi Owode,Tier 2,Tier 2,15,"N50,001 - N100,000",80000
South West,Ondo,Ondo West,Tier 1,Tier 1,2,"N100,001 - N250,000",150000
South West,Ondo,Ondo West,Tier 1,Tier 1,2,"N100,001 - N250,000",120000
South West,Osun,Atakunmosa East,Tier 1,Tier 1,9,"N50,001 - N100,000",70000
South West,Ogun,Odeda,Tier 0,Tier 0,12,"N100,001 - N250,000",250000
South West,Ogun,Odeda,Tier 0,Tier 0,17,"N100,001 - N250,000",150000
South West,Ogun,Odeda,Tier 0,Tier 0,3,"N0 -  N50,000",30000
South West,Ogun,Odeda,Tier 3,Tier 3,2,"N50,001 - N100,000",80000
South West,Ogun,Odeda,Tier 0,Tier 0,1,"N50,001 - N100,000",70000
South West,Ogun,Odeda,Tier 0,Tier 0,2,"N0 -  N50,000",50000
South West,Ogun,Odeda,Tier 0,Tier 0,3,"N0 -  N50,000",50000
South West,Ogun,Odeda,Tier 0,Tier 0,23,"N250,001 - N500,000",300000
South West,Ogun,Odeda,Tier 0,Tier 0,1,"N0 -  N50,000",50000
South West,Ogun,Odeda,Tier 0,Tier 0,2,"N50,001 - N100,000",60000
South West,Osun,Atakunmosa West,Tier 3,Tier 3,6,"N50,001 - N100,000",80000
South West,Osun,Atakunmosa East,Tier 1,Tier 1,7,"N100,001 - N250,000",150000
South West,Osun,Atakunmosa East,Tier 1,Tier 1,10,"N0 -  N50,000",50000
South West,Ogun,Obafemi Owode,Tier 1,Tier 1,4,"N50,001 - N100,000",95000
South West,Osun,Atakunmosa East,Tier 0,Tier 0,0,"N50,001 - N100,000",100000
South West,Osun,Atakunmosa East,Tier 0,Tier 0,0,"N0 -  N50,000",50000
South West,Ogun,Abeokuta South,Tier 0,Tier 0,9,"N50,001 - N100,000",80000
South West,Ogun,Obafemi Owode,Tier 1,Tier 1,2,"N50,001 - N100,000",100000
South West,Ogun,Abeokuta South,Tier 1,Tier 1,4,"N100,001 - N250,000",200000
South West,Ogun,Obafemi Owode,Tier 1,Tier 1,4,"N50,001 - N100,000",70000
South West,Lagos,Alimosho,Tier 3,Tier 4,5,"N100,001 - N250,000",140000
South West,Lagos,Alimosho,Tier 3,Tier 4,6,"N100,001 - N250,000",200000
South West,Lagos,Alimosho,Tier 3,Tier 3,12,"N250,001 - N500,000",350000
South West,Lagos,Alimosho,Tier 3,Tier 3,13,"N100,001 - N250,000",200000
South West,Lagos,Alimosho,Tier 1,Tier 3,13,"N50,001 - N100,000",55000
South West,Lagos,Alimosho,Tier 1,Tier 2,26,"N500,001 - N1,000,000",600000
South West,Lagos,Alimosho,Tier 1,Tier 1,15,"N50,001 - N100,000",100000
South West,Lagos,Alimosho,Tier 1,Tier 1,2,"N500,001 - N1,000,000",550000
South West,Lagos,Alimosho,Tier 3,Tier 3,16,"N250,001 - N500,000",350000
South West,Ekiti,Ekiti South-West,Tier 3,Tier 3,2,"N50,001 - N100,000",100000
South West,Ekiti,Ijero,Tier 0,Tier 0,0,"N50,001 - N100,000",100000
South West,Ekiti,Ekiti South-West,Tier 0,Tier 0,0,"N50,001 - N100,000",75000
South West,Ekiti,Ijero,Tier 1,Tier 1,0,"N100,001 - N250,000",250000
South West,Ekiti,Ekiti South-West,Tier 0,Tier 0,0,"N0 -  N50,000",50000
South West,Ondo,Ile-Oluji/Okeigbo,Tier 0,Tier 0,3,"N50,001 - N100,000",60000
South West,Ondo,Ile-Oluji/Okeigbo,Tier 0,Tier 0,2,"N50,001 - N100,000",70000
South West,Ondo,Ile-Oluji/Okeigbo,Tier 0,Tier 0,66,"N50,001 - N100,000",100000
South West,Ondo,Ile-Oluji/Okeigbo,Tier 0,Tier 0,4,"N100,001 - N250,000",120000
South West,Ondo,Ile-Oluji/Okeigbo,Tier 0,Tier 0,1,"N100,001 - N250,000",150000
South West,Ondo,Ile-Oluji/Okeigbo,Tier 0,Tier 0,23,"N50,001 - N100,000",90000
South West,Lagos,Kosofe,Tier 2,Tier 2,14,"N100,001 - N250,000",150000
South West,Lagos,Kosofe,Tier 3,Tier 3,25,"N100,001 - N250,000",200000
South West,Lagos,Kosofe,Tier 2,Tier 2,18,"N100,001 - N250,000",120000
South West,Lagos,Kosofe,Tier 1,Tier 3,16,"N250,001 - N500,000",300000
South West,Lagos,Kosofe,Tier 2,Tier 2,17,"N100,001 - N250,000",150000
South West,Ekiti,Ijero,Tier 0,Tier 0,0,"N100,001 - N250,000",150000
South West,Ekiti,Ekiti South-West,Tier 0,Tier 0,0,"N100,001 - N250,000",150000
South West,Ekiti,Ijero,Tier 1,Tier 1,2,"N50,001 - N100,000",100000
South West,Ekiti,Ekiti South-West,Tier 0,Tier 0,0,"N250,001 - N500,000",300000
South West,Ekiti,Ijero,Tier 0,Tier 0,0,"N50,001 - N100,000",100000
South West,Ekiti,Ekiti South-West,Tier 1,Tier 1,0,"N250,001 - N500,000",400000
South West,Lagos,Kosofe,Tier 1,Tier 2,17,"N100,001 - N250,000",150000
South West,Ondo,Akoko South-West,Tier 2,Tier 2,2,"N50,001 - N100,000",80000
South West,Lagos,Kosofe,Tier 1,Tier 1,29,"N50,001 - N100,000",70000
South West,Lagos,Oshodi-Isolo,Tier 3,Tier 3,33,"N100,001 - N250,000",200000
South West,Ogun,Yewa South,Tier 3,Tier 3,26,"N100,001 - N250,000",150000
South West,Lagos,Ikeja,Tier 0,Tier 4,5,"N100,001 - N250,000",150000
South West,Lagos,Ikeja,Tier 0,Tier 3,17,"N250,001 - N500,000",300000
South West,Lagos,Ikeja,Tier 0,Tier 2,7,"N100,001 - N250,000",150000
South West,Lagos,Oshodi-Isolo,Tier 0,Tier 4,11,"N100,001 - N250,000",120000
South West,Lagos,Kosofe,Tier 1,Tier 1,18,"N50,001 - N100,000",100000
South West,Osun,Orolu,Tier 1,Tier 3,10,"N0 -  N50,000",50000
South West,Lagos,Ikeja,Tier 0,Tier 2,5,"N100,001 - N250,000",150000
South West,Ogun,Yewa South,Tier 0,Tier 0,1,"N50,001 - N100,000",100000
South West,Ogun,Yewa South,Tier 0,Tier 0,59,"N100,001 - N250,000",120000
South West,Lagos,Ikeja,Tier 0,Tier 2,13,"N100,001 - N250,000",160000
South West,Ekiti,Emure,Tier 1,Tier 1,5,"N50,001 - N100,000",60000
South West,Ekiti,Emure,Tier 0,Tier 3,9,"N100,001 - N250,000",150000
South West,Ekiti,Emure,Tier 1,Tier 1,13,"N100,001 - N250,000",135000
South West,Ekiti,Emure,Tier 0,Tier 0,0,"N50,001 - N100,000",60000
South West,Ekiti,Ekiti South-West,Tier 0,Tier 0,0,"N50,001 - N100,000",100000
South West,Ekiti,Ekiti South-West,Tier 0,Tier 0,0,"N250,001 - N500,000",300000
