Timestamp,What is the name of the hospital?,Building Name,"If Others, Kindly Input Building Name",Auditor's Name,GPS Coordinate,Year of Construction and Any Major Renovations,Any department or areas in the building that required uninterrupted power supply?,"If Yes, Kindly select the areas/departments","Facing (North, West, East, South etc.)",What is the total roof area available for solar installation (m²)?,Any available land space? (Y/N),Number of Floors in the building,Is the Roof sloping (Y/N),Roof orientation and tilt angle (degrees),Roof sheet thickness (Meters),Roof sheet material (Are rooftops concrete or metal sheet?),"On a scale of 0-10, How would you rate the roof condition of this building ?",Are there any existing civil works or electrical infrastructure concerns?,Presence of obstructions,"Is there any shading (trees, nearby buildings) on rooftops?",Wind load resistance,Solar irradiation levels (kWh/m2/day),Temperature (oC),Are there any available space for inverters & other equipment for Panels,Location of available space(s),Available space for inverters & other equipment for Panels (sq.m),Dust Generation Potential,Need for Soil Stabilization or errosion control,Compliance with building and zoning codes,page_0_0_images,Rooftop Image 1,Rooftop Image 2,Rooftop Image 3,Other images if applicable ie (Installation of accessories),Image 1,Image 2,Remarks,Any remarks from enumerator
8/20/2025 16:45:24,Mainland General Hospital,Others,QUARTERS (OXYGEN PLANT),Fetuga Abiodun,"6.523384, 3.376405",,FALSE,,,250,FALSE,1,TRUE,45,,Aluminium longspan,7,FALSE,FALSE,FALSE,25.7,680,26,FALSE,,,Low,Low,,Solar Feasibility_Images/08-20-2025 16-45-24.Rooftop Image 1.154918.jpg,Solar Feasibility_Images/08-20-2025 16-45-24.Rooftop Image 2.154917.jpg,,,,,,,
8/21/2025 10:19:29,Apapa General Hospital,Others,FEMALE WARD,Fetuga Abiodun,"6.442011, 3.368871",,TRUE,Ward,,140,FALSE,2,TRUE,25,,Aluminium longspan,9,FALSE,FALSE,FALSE,23,1002,29.7,TRUE,Nurses room,16,Low,Low,,Solar Feasibility_Images/08-21-2025 10-19-29.Rooftop Image 1.093642.jpg,Solar Feasibility_Images/08-21-2025 10-19-29.Rooftop Image 2.093642.jpg,,,,,,,
8/21/2025 10:39:19,Apapa General Hospital,Others,MAIN BUILDING,Fetuga Abiodun,"6.441712, 3.369097",,TRUE,"Theatre, Laboratory and pharmacy",,1180,TRUE,2,TRUE,40,,Aluminium longspan,5,TRUE,FALSE,FALSE,23,972,27.4,FALSE,Offi,54,Low,Low,,Solar Feasibility_Images/08-21-2025 10-39-19.Rooftop Image 1.094538.jpg,Solar Feasibility_Images/08-21-2025 10-39-19.Rooftop Image 2.094538.jpg,Solar Feasibility_Images/08-21-2025 10-39-19.Rooftop Image 3.094538.jpg,,,Solar Feasibility_Images/08-21-2025 10-39-19.Image 2.101839.jpg,,,
8/21/2025 10:45:28,Apapa General Hospital,Others,MALE WARD,Fetuga Abiodun,"6.442224, 3.368475",,FALSE,Sd,,125,FALSE,1,TRUE,35,,Aluminium longspan,8,FALSE,FALSE,FALSE,23,1152,27.3,TRUE,Inverter room,10,Low,Low,,Solar Feasibility_Images/08-21-2025 10-45-28.Rooftop Image 1.094903.jpg,Solar Feasibility_Images/08-21-2025 10-45-28.Rooftop Image 2.094903.jpg,,,Solar Feasibility_Images/08-21-2025 10-45-28.Image 1.100845.jpg,Solar Feasibility_Images/08-21-2025 10-45-28.Image 2.100845.jpg,,,
8/21/2025 10:49:00,Apapa General Hospital,Others,GEN EXPERT,Fetuga Abiodun,"6.442103, 3.368420",,FALSE,Ward,,125,TRUE,1,TRUE,20,,Aluminium longspan,7,FALSE,FALSE,TRUE,23,1226,27.4,FALSE,,,Low,Low,,Solar Feasibility_Images/08-21-2025 10-49-00.Rooftop Image 1.095243.jpg,Solar Feasibility_Images/08-21-2025 10-49-00.Rooftop Image 2.095243.jpg,,,Solar Feasibility_Images/08-21-2025 10-49-00.Image 1.101132.jpg,Solar Feasibility_Images/08-21-2025 10-49-00.Image 2.101132.jpg,Existing Solar not working,,
8/21/2025 11:22:03,Apapa General Hospital,Others,MATERNITY,Fetuga Abiodun,"6.441672, 3.369132",,TRUE,Ward,,25,FALSE,1,TRUE,20,,Aluminium longspan,6,FALSE,FALSE,TRUE,23,2067,26,FALSE,,,Low,Low,,Solar Feasibility_Images/08-21-2025 11-22-03.Rooftop Image 1.102938.jpg,Solar Feasibility_Images/08-21-2025 11-22-03.Rooftop Image 2.102938.jpg,Solar Feasibility_Images/08-21-2025 11-22-03.Rooftop Image 3.102938.jpg,,Solar Feasibility_Images/08-21-2025 11-22-03.Image 1.102942.jpg,,,,
8/21/2025 14:00:08,Ifako Agege General Hospital,Others,MOTHER CHILD CARE (MCC),Fetuga Abiodun,"6.643761, 3.325631",,TRUE,Scan room,,5386,FALSE,4,TRUE,35,,Aluminium longspan,8,FALSE,FALSE,FALSE,18.3,2326,27,FALSE,,,Low,Low,,Solar Feasibility_Images/08-21-2025 14-00-08.Rooftop Image 1.133420.jpg,Solar Feasibility_Images/08-21-2025 14-00-08.Rooftop Image 2.133420.jpg,Solar Feasibility_Images/08-21-2025 14-00-08.Rooftop Image 3.133420.jpg,,,,,,
8/21/2025 14:36:15,Ifako Agege General Hospital,Others,SECURITY/ENGINEERING BUILDING,Fetuga Abiodun,"6.643531, 3.325715",,FALSE,,,55,FALSE,2,TRUE,25,,Asbestos,3,FALSE,FALSE,FALSE,19.2,2200,27,TRUE,Store,9,Low,Low,,Solar Feasibility_Images/08-21-2025 14-36-15.Rooftop Image 1.134115.jpg,Solar Feasibility_Images/08-21-2025 14-36-15.Rooftop Image 2.134115.jpg,,,Solar Feasibility_Images/08-21-2025 14-36-15.Image 1.154108.jpg,,,,
8/21/2025 14:41:12,Ifako Agege General Hospital,Others,TRAIGE & OXYGEN CENTRE,Fetuga Abiodun,"6.643447, 3.325738",,TRUE,Oxygen,,140,FALSE,1,TRUE,20,,Aluminium longspan,8,FALSE,FALSE,FALSE,19.6,2071,27,FALSE,,,Low,Low,,Solar Feasibility_Images/08-21-2025 14-41-12.Rooftop Image 1.134426.jpg,Solar Feasibility_Images/08-21-2025 14-41-12.Rooftop Image 2.134426.jpg,Solar Feasibility_Images/08-21-2025 14-41-12.Rooftop Image 3.162859.jpg,,,,,,
8/21/2025 14:44:24,Ifako Agege General Hospital,Dentistry (including sub-specialties),,Fetuga Abiodun,"6.643471, 3.325740",,TRUE,Laboratory,,120,FALSE,2,TRUE,35,,Aluminium longspan,9,FALSE,FALSE,FALSE,19.5,1770,27,FALSE,,,Low,Low,,Solar Feasibility_Images/08-21-2025 14-44-24.Rooftop Image 1.134802.jpg,Solar Feasibility_Images/08-21-2025 14-44-24.Rooftop Image 2.134802.jpg,,,,,,,
