,Region,Tier 0,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5
0,north_central,29%,54%,5%,13%,0%,0%
1,north_east,40%,46%,3%,10%,0%,0%
2,north_west,33%,52%,5%,11%,0%,0%
3,south_east,22%,40%,4%,34%,0%,0%
4,south_south,34%,47%,3%,16%,0%,0%
5,south_west,38%,45%,4%,13%,0%,0%
